patient_id,dataset,is_lesion,fg_voxels,fg_pct,bbox_size,dist_to_center
Unknown,Unknown,True,3140,0.07486343383789062,0,37.77202774942417
Unknown,Unknown,True,775,0.018477439880371094,0,121.9310021669566
Unknown,Unknown,True,4023,0.0959157943725586,0,84.11344282845663
Unknown,Unknown,True,510,0.012159347534179688,0,149.45445602560918
Unknown,Unknown,True,11664,0.2780914306640625,0,30.451232485353103
Unknown,Unknown,True,1618,0.03857612609863281,0,118.33663310689406
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,3421,0.08156299591064453,0,34.088878635021366
Unknown,Unknown,True,4737,0.11293888092041016,0,97.99042946009075
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,706,0.016832351684570312,0,101.12103415115953
Unknown,Unknown,True,2945,0.07021427154541016,0,109.48262086383086
Unknown,Unknown,True,925,0.02205371856689453,0,115.41215732272029
Unknown,Unknown,True,10415,0.24831295013427734,0,93.4517288220873
Unknown,Unknown,True,3385,0.0807046890258789,0,14.732854839395083
Unknown,Unknown,True,40976,0.9769439697265625,0,40.14199438522754
Unknown,Unknown,True,1080,0.02574920654296875,0,158.142849732018
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,113126,2.697134017944336,0,86.94351582039397
Unknown,Unknown,True,17652,0.4208564758300781,0,58.58769923712375
Unknown,Unknown,True,25643,0.6113767623901367,0,46.61954628244022
Unknown,Unknown,True,16854,0.40183067321777344,0,52.189017515439
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,105,0.0025033950805664062,0,7.351573366834001
Unknown,Unknown,True,2827,0.06740093231201172,0,12.747290233846696
Unknown,Unknown,True,8118,0.19354820251464844,0,33.655976600603296
Unknown,Unknown,True,2853,0.06802082061767578,0,39.43872661822075
